KID NUMBER,Response
1,0
2,4.52448E+13
3,4.67797E+13
4,3.79096E+13
5,0
6,4.997E+13
7,3.92162E+13
8,4.89907E+13
9,3.25484E+13
10,5.90796E+13
11,4.18306E+13
12,4.27021E+13
13,4.98482E+13
14,3.65147E+13
15,0
16,0
17,0
18,0
19,0
20,0
21,5.02839E+13
22,4.79309E+13
23,4.12206E+13
24,5.38569E+13
25,4.66237E+13
26,0
27,4.69723E+13
28,4.36607E+13
29,0
30,4.6188E+13
31,2.89329E+13
32,4.84538E+13
33,3.33774E+13
34,4.65366E+13
35,4.33121E+13
36,4.2615E+13
37,3.87805E+13
38,3.70375E+13
39,4.34864E+13
40,4.2615E+13
41,3.39002E+13
42,3.95648E+13
43,4.65366E+13
44,4.53165E+13
45,3.94777E+13
46,5.5687E+13
47,5.48156E+13
48,5.99572E+13
49,4.5578E+13
50,6.4576E+13
51,5.73428E+13
52,2.79742E+13
53,1.88238E+13
54,2.74514E+13
55,2.57084E+13
56,3.75604E+13
57,2.84971E+13
58,2.94557E+13
59,1.16777E+13
60,2.98043E+13
61,3.51203E+13
62,3.04144E+13
63,2.79742E+13
64,1.74294E+13
65,1.30721E+13
66,2.21354E+13
67,4.09592E+13
68,3.87805E+13
69,3.28545E+13
70,2.18739E+13
71,4.09592E+13
72,4.4445E+13
73,2.75385E+13
74,3.01529E+13
75,0
76,3.48589E+13
77,3.00658E+13
78,3.68632E+13
79,0
80,1.83009E+13
81,3.74733E+13
82,3.26802E+13
83,4.3835E+13
84,1.76037E+13
85,3.30288E+13
86,1.15034E+13
87,2.78871E+13
88,3.57303E+13
89,4.12206E+13
90,2.963E+13
91,2.75385E+13
92,2.83228E+13
93,3.45103E+13
94,3.10244E+13
95,3.27673E+13
96,3.70375E+13
97,3.48589E+13
98,3.94777E+13
99,3.68632E+13
100,4.18306E+13
101,2.902E+13
102,2.95429E+13
103,3.01529E+13
104,3.95648E+13
105,3.76476E+13
106,0
107,0
108,0
109,0
110,4.3225E+13
111,0
112,0
113,0
